hexID,count,MAJ_CHIMN,MAJ_FOUND,MAJ_NO,MAJ_PORCH,MAJ_RFSWY,MAJ_RFTILE,MAJ_ROT,MAJ_SIDING,MAJ_WINDDO,MIN_CHIMN,MIN_FOUND,MIN_GUTTER,MIN_INSUL,MIN_MISSID,MIN_NO,MIN_PAINT,MIN_PORCH,MIN_PORJUNK,MIN_RAILS,MIN_RFSWY,MIN_RFTILE,MIN_ROT,MIN_UNFINW,MIN_WINDDO,MIN_WNDPAN,YARD_GRCOV,YARD_MAJCL,YARD_MOW,YARD_OVRGR,YARD_SATIS,YARD_VHINOP,YARD_VHPARK
6,1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
17,2,0,0,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
18,10,0,0,60,10,0,10,10,20,10,0,10,0,0,0,50,10,30,10,0,0,10,0,20,0,20,30,20,0,10,60,0,0
19,4,0,0,75,0,0,0,0,0,0,0,0,0,0,0,50,25,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
30,6,0,0,83,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
31,7,0,0,100,0,0,0,0,0,0,0,0,0,0,0,57,14,0,14,0,0,0,14,14,0,0,14,0,0,0,71,0,14
32,6,0,0,83,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,17,17,0,0,0,0,0,0,0,17,67,0,17
39,5,0,0,100,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,20,20,20,0,0,0,0,0,0,60,0,0
40,5,0,0,80,0,20,0,0,0,0,0,0,0,0,0,60,40,0,20,0,0,0,0,0,0,0,0,0,20,0,80,0,0
41,6,0,0,83,0,0,0,0,17,0,0,0,0,0,17,50,17,0,0,17,33,33,17,17,0,0,17,0,0,17,50,0,0
