ID,long,lat,proptype,propstatus,stories,MIN_NO,MIN_RFSWY,MIN_RFTILE,MIN_FOUND,MIN_WINDDO,MIN_WNDPAN,MIN_UNFINW,MIN_MISSID,MIN_INSUL,MIN_ROT,MIN_RAILS,MIN_PORCH,MIN_PORJUNK,MIN_CHIMN,MIN_PAINT,MIN_GUTTER,MAJ_NO,MAJ_RFSWY,MAJ_RFTILE,MAJ_FOUND,MAJ_WINDDO,MAJ_SIDING,MAJ_ROT,MAJ_PORCH,MAJ_CHIMN,YARD_SATIS,YARD_MOW,YARD_OVRGR,YARD_VHINOP,YARD_VHPARK,YARD_GRCOV,YARD_MAJCL,GeneralCon,Pic1,MIN_TOTAL,MAJ_TOTAL,MnMj_total,Classify,other_tot,Landlord
sample_0001,-83.3943136,33.95056087,Single family (no garage),OCCUP,one,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Good,http://classic.ona.io/api/v1/files/2035158?filename=communitymapuga/attachments/1482425097445.jpg,0,0,0,Standard,0,0
sample_0002,-83.39531646,33.95051281,Single family (garage),OCCUP,two,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Fair,http://classic.ona.io/api/v1/files/2035158?filename=communitymapuga/attachments/1464788401500.jpg,3,0,3,Substandard,0,0
sample_0003,-83.38642777,33.95028461,Single family (no garage),OCCUP,one,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Good,http://classic.ona.io/api/v1/files/2035166?filename=communitymapuga/attachments/1464788773264.jpg,2,0,2,Substandard,0,0
sample_0004,-83.38407797,33.95032866,Single family (garage),OCCUP,one,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Good,http://classic.ona.io/api/v1/files/2035170?filename=communitymapuga/attachments/1464789086921.jpg,1,0,1,Standard,0,0
sample_0005,-83.38363107,33.95044783,Single family (no garage),OCCUP,one,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Good,http://classic.ona.io/api/v1/files/2035171?filename=communitymapuga/attachments/1464789529844.jpg,1,0,1,Standard,0,0
sample_0006,-83.38620377,33.95033529,Single family (no garage),OCCUP,one,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Fair,http://classic.ona.io/api/v1/files/2035178?filename=communitymapuga/attachments/1464789916201.jpg,4,0,4,Dilapidated,0,1
sample_0007,-83.38483854,33.95064518,Single family (no garage),VACANT,one,No,No,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Poor,http://classic.ona.io/api/v1/files/2035188?filename=communitymapuga/attachments/1464790710514.jpg,5,2,7,Dilapidated,0,1
sample_0008,-83.39546993,33.95101149,Single family (no garage),OCCUP,one,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Fair,http://classic.ona.io/api/v1/files/2035189?filename=communitymapuga/attachments/1464790967508.jpg,2,0,2,Substandard,0,1
sample_0009,-83.39512473,33.95054824,Single family (no garage),OCCUP,one,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Fair,http://classic.ona.io/api/v1/files/2035192?filename=communitymapuga/attachments/1464791329642.jpg,0,0,0,Standard,0,1
sample_0010,-83.3910889,33.95276403,Single family (no garage),OCCUP,one,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Fair,http://classic.ona.io/api/v1/files/2035203?filename=communitymapuga/attachments/1464791548473.jpg,2,0,2,Substandard,0,0
sample_0011,-83.382479,33.9519789,Single family (no garage),OCCUP,one,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Poor,http://classic.ona.io/api/v1/files/2035209?filename=communitymapuga/attachments/1464792060093.jpg,8,1,9,Dilapidated,0,0
sample_0012,-83.393774,33.95282556,Single family (no garage),OCCUP,two,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Fair,http://classic.ona.io/api/v1/files/2035212?filename=communitymapuga/attachments/1464788393235.jpg,1,0,1,Standard,0,1
sample_0013,-83.3862708,33.95276215,Single family (no garage),OCCUP,two,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Good,http://classic.ona.io/api/v1/files/2035214?filename=communitymapuga/attachments/1465310407394.jpg,0,0,0,Standard,0,0
sample_0014,-83.39547411,33.95283283,Single family (no garage),OCCUP,two,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Fair,http://classic.ona.io/api/v1/files/2035215?filename=communitymapuga/attachments/1464788715137.jpg,0,0,0,Standard,0,0
sample_0015,-83.38592318,33.95040109,Single family (no garage),OCCUP,one,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Good,http://classic.ona.io/api/v1/files/2035216?filename=communitymapuga/attachments/1465310644404.jpg,0,0,0,Standard,0,0
sample_0016,-83.39466177,33.95048871,Single family (no garage),OCCUP,one,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Fair,http://classic.ona.io/api/v1/files/2035217?filename=communitymapuga/attachments/1464789157261.jpg,0,0,0,Standard,0,1
sample_0017,-83.3946344,33.95075615,Single family (no garage),OCCUP,one,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Good,http://classic.ona.io/api/v1/files/2035218?filename=communitymapuga/attachments/1465310891549.jpg,0,0,0,Standard,0,0
